4,3076150
4,3076181
4,3076257
4,3076266
4,3076662
4,3076665
4,3076672
4,3076677
4,3076680
4,3076683
4,3076686
4,3076689
4,3076693
4,3076695
4,3076696
4,3076699
4,3076701
4,3076704
4,25378769
4,99998169
4,100009952
4,100009953
4,100010010
4,100044822
4,103422791
4,103422827
4,103422838
4,146050502
4,146050714
X,9754409
X,9754416
X,46618377
X,46618465
X,46618469
X,46618479
X,46618548
X,153200425
X,153200463
X,153200496
X,153200497
X,153200505
X,153200656
X,153200660
X,153200671
X,153200677
X,153200697
